sample_id,image_path,material_label,c1_label
minc_brick_2089,images/brick/brick_002089.jpg,brick,brick
minc_brick_0519,images/brick/brick_000519.jpg,brick,brick
minc_brick_0216,images/brick/brick_000216.jpg,brick,brick
minc_brick_0593,images/brick/brick_000593.jpg,brick,brick
minc_brick_0228,images/brick/brick_000228.jpg,brick,brick
minc_brick_1811,images/brick/brick_001811.jpg,brick,brick
minc_brick_1217,images/brick/brick_001217.jpg,brick,brick
minc_brick_1025,images/brick/brick_001025.jpg,brick,brick
minc_brick_1189,images/brick/brick_001189.jpg,brick,brick
minc_brick_0641,images/brick/brick_000641.jpg,brick,brick
minc_brick_0067,images/brick/brick_000067.jpg,brick,brick
minc_brick_1951,images/brick/brick_001951.jpg,brick,brick
minc_brick_1852,images/brick/brick_001852.jpg,brick,brick
minc_brick_2251,images/brick/brick_002251.jpg,brick,brick
minc_brick_1914,images/brick/brick_001914.jpg,brick,brick
minc_brick_2214,images/brick/brick_002214.jpg,brick,brick
minc_brick_0767,images/brick/brick_000767.jpg,brick,brick
minc_brick_0925,images/brick/brick_000925.jpg,brick,brick
minc_brick_2236,images/brick/brick_002236.jpg,brick,brick
minc_brick_0935,images/brick/brick_000935.jpg,brick,brick
minc_brick_0413,images/brick/brick_000413.jpg,brick,brick
minc_brick_0080,images/brick/brick_000080.jpg,brick,brick
minc_brick_2282,images/brick/brick_002282.jpg,brick,brick
minc_brick_0965,images/brick/brick_000965.jpg,brick,brick
minc_brick_2359,images/brick/brick_002359.jpg,brick,brick
minc_brick_1842,images/brick/brick_001842.jpg,brick,brick
minc_brick_0419,images/brick/brick_000419.jpg,brick,brick
minc_brick_0217,images/brick/brick_000217.jpg,brick,brick
minc_brick_1820,images/brick/brick_001820.jpg,brick,brick
minc_brick_1720,images/brick/brick_001720.jpg,brick,brick
minc_brick_1510,images/brick/brick_001510.jpg,brick,brick
minc_brick_2317,images/brick/brick_002317.jpg,brick,brick
minc_brick_1828,images/brick/brick_001828.jpg,brick,brick
minc_brick_1106,images/brick/brick_001106.jpg,brick,brick
minc_brick_1601,images/brick/brick_001601.jpg,brick,brick
minc_brick_1040,images/brick/brick_001040.jpg,brick,brick
minc_brick_2450,images/brick/brick_002450.jpg,brick,brick
minc_brick_1245,images/brick/brick_001245.jpg,brick,brick
minc_brick_1117,images/brick/brick_001117.jpg,brick,brick
minc_brick_0530,images/brick/brick_000530.jpg,brick,brick
minc_brick_1021,images/brick/brick_001021.jpg,brick,brick
minc_brick_1313,images/brick/brick_001313.jpg,brick,brick
minc_brick_1904,images/brick/brick_001904.jpg,brick,brick
minc_brick_1179,images/brick/brick_001179.jpg,brick,brick
minc_brick_1436,images/brick/brick_001436.jpg,brick,brick
minc_brick_2043,images/brick/brick_002043.jpg,brick,brick
minc_brick_1039,images/brick/brick_001039.jpg,brick,brick
minc_brick_2065,images/brick/brick_002065.jpg,brick,brick
minc_brick_1703,images/brick/brick_001703.jpg,brick,brick
minc_brick_1589,images/brick/brick_001589.jpg,brick,brick
minc_brick_2217,images/brick/brick_002217.jpg,brick,brick
minc_brick_2171,images/brick/brick_002171.jpg,brick,brick
minc_brick_0236,images/brick/brick_000236.jpg,brick,brick
minc_brick_2434,images/brick/brick_002434.jpg,brick,brick
minc_brick_1979,images/brick/brick_001979.jpg,brick,brick
minc_brick_1566,images/brick/brick_001566.jpg,brick,brick
minc_brick_0019,images/brick/brick_000019.jpg,brick,brick
minc_brick_0433,images/brick/brick_000433.jpg,brick,brick
minc_brick_0468,images/brick/brick_000468.jpg,brick,brick
minc_brick_1823,images/brick/brick_001823.jpg,brick,brick
minc_brick_0109,images/brick/brick_000109.jpg,brick,brick
minc_brick_1908,images/brick/brick_001908.jpg,brick,brick
minc_brick_0317,images/brick/brick_000317.jpg,brick,brick
minc_brick_0459,images/brick/brick_000459.jpg,brick,brick
minc_brick_2078,images/brick/brick_002078.jpg,brick,brick
minc_brick_1634,images/brick/brick_001634.jpg,brick,brick
minc_brick_0100,images/brick/brick_000100.jpg,brick,brick
minc_brick_1846,images/brick/brick_001846.jpg,brick,brick
minc_brick_1653,images/brick/brick_001653.jpg,brick,brick
minc_brick_2309,images/brick/brick_002309.jpg,brick,brick
minc_brick_1867,images/brick/brick_001867.jpg,brick,brick
minc_brick_0162,images/brick/brick_000162.jpg,brick,brick
minc_brick_0249,images/brick/brick_000249.jpg,brick,brick
minc_brick_0091,images/brick/brick_000091.jpg,brick,brick
minc_brick_0437,images/brick/brick_000437.jpg,brick,brick
minc_brick_1797,images/brick/brick_001797.jpg,brick,brick
minc_brick_0571,images/brick/brick_000571.jpg,brick,brick
minc_brick_1030,images/brick/brick_001030.jpg,brick,brick
minc_brick_0525,images/brick/brick_000525.jpg,brick,brick
minc_brick_1024,images/brick/brick_001024.jpg,brick,brick
minc_brick_2330,images/brick/brick_002330.jpg,brick,brick
minc_brick_1924,images/brick/brick_001924.jpg,brick,brick
minc_brick_0838,images/brick/brick_000838.jpg,brick,brick
minc_brick_2303,images/brick/brick_002303.jpg,brick,brick
minc_brick_1368,images/brick/brick_001368.jpg,brick,brick
minc_brick_1596,images/brick/brick_001596.jpg,brick,brick
minc_brick_0652,images/brick/brick_000652.jpg,brick,brick
minc_brick_2325,images/brick/brick_002325.jpg,brick,brick
minc_brick_1733,images/brick/brick_001733.jpg,brick,brick
minc_brick_1558,images/brick/brick_001558.jpg,brick,brick
minc_brick_0984,images/brick/brick_000984.jpg,brick,brick
minc_brick_1280,images/brick/brick_001280.jpg,brick,brick
minc_brick_0175,images/brick/brick_000175.jpg,brick,brick
minc_brick_0211,images/brick/brick_000211.jpg,brick,brick
minc_brick_0704,images/brick/brick_000704.jpg,brick,brick
minc_brick_0701,images/brick/brick_000701.jpg,brick,brick
minc_brick_1672,images/brick/brick_001672.jpg,brick,brick
minc_brick_0141,images/brick/brick_000141.jpg,brick,brick
minc_brick_1516,images/brick/brick_001516.jpg,brick,brick
minc_brick_1493,images/brick/brick_001493.jpg,brick,brick
